name,full_path,relative_path,directory,extension,size_bytes,size_mb,modified_date,created_date,ai_tags
Face_Anim_Intro_Tescao_RIG.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Face_Animation\Face_Anim_Intro_Tescao_RIG.FBX,Face_Animation\Face_Anim_Intro_Tescao_RIG.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Face_Animation,.fbx,9741104,9.29,2024-03-21 17:36:18,2025-05-26 20:37:21,"Анимация, маленький, старый, Размерный., Интро, Риггинг, 3D модель"
Face_Anim_Intro_Tescao_RIG_Only.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Face_Animation\Face_Anim_Intro_Tescao_RIG_Only.FBX,Face_Animation\Face_Anim_Intro_Tescao_RIG_Only.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Face_Animation,.fbx,6946384,6.625,2024-03-21 17:40:09,2025-05-26 20:37:22,"анимационный., Анимация, работа, маленький, старый, 3D-модель, крупный"
Face_Anim_Intro_Tescao_v01.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Face_Animation\Face_Anim_Intro_Tescao_v01.FBX,Face_Animation\Face_Anim_Intro_Tescao_v01.FBX,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Face_Animation,.fbx,404729072,385.98,2024-03-21 15:46:39,2025-05-26 20:37:22,"Развлечение, Видеоигра, средний, Анимация, старый, 3D, Анимационный файл"
FACE_OnlyCtrlRig.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Face_Animation\Only_Ctrl_face_Anim\FACE_OnlyCtrlRig.fbx,Face_Animation\Only_Ctrl_face_Anim\FACE_OnlyCtrlRig.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Face_Animation\Only_Ctrl_face_Anim,.fbx,1668768,1.591,2024-03-15 10:56:48,2025-05-26 20:37:26,"контрольный риг, средний размер, маленький, старый, 3D-модель, анимация, анимационный проект"
sk_tescao_body_02.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\fbx\sk_tescao_body_02.fbx,fbx\sk_tescao_body_02.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\fbx,.fbx,97813344,93.282,2024-02-21 16:22:28,2025-05-26 20:37:26,"большой, работа, маленький, старый, формат FBX, анимация, 3D модель"
sk_tescao_head_02.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\fbx\sk_tescao_head_02.fbx,fbx\sk_tescao_head_02.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\fbx,.fbx,60672864,57.862,2024-02-21 16:23:00,2025-05-26 20:37:27,"Модель, Файл, маленький, старый, Работа, 3D, Крупный"
TES_Body_new.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\fbx\TES_Body_new.fbx,fbx\TES_Body_new.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\fbx,.fbx,8804704,8.397,2024-03-22 16:38:59,2025-05-26 20:37:28,"большой, Модель, анимация, работа, маленький, старый, 3D"
TES_Face_new.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\fbx\TES_Face_new.fbx,fbx\TES_Face_new.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\fbx,.fbx,60654272,57.844,2024-02-29 16:23:07,2025-05-26 20:37:28,"Модель, анимация, игра., графика, маленький, старый, 3D"
TES_Full_new.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\fbx\TES_Full_new.fbx,fbx\TES_Full_new.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\fbx,.fbx,109237168,104.177,2024-02-29 16:27:29,2025-05-26 20:37:29,"большой, средний, работа, старый, проект., анимация, 3D модель"
TES_Full_new_v01.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\fbx\TES_Full_new_v01.fbx,fbx\TES_Full_new_v01.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\fbx,.fbx,110346240,105.234,2024-02-29 16:39:24,2025-05-26 20:37:30,"большой., средний, Модель, старый, проект, анимация, 3D"
TES_Body_new.001.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\fbx\TES_Body_new.bck\TES_Body_new.001.fbx,fbx\TES_Body_new.bck\TES_Body_new.001.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\fbx\TES_Body_new.bck,.fbx,12962784,12.362,2024-02-29 16:18:16,2025-05-26 20:37:31,"Модель, анимация, работа, маленький, старый, важный, 3D"
567015 (66).tif,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\fbx\TES_Full_new_v01.fbm\567015 (66).tif,fbx\TES_Full_new_v01.fbm\567015 (66).tif,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\fbx\TES_Full_new_v01.fbm,.tif,6124,0.006,2024-03-22 16:13:00,2025-05-26 20:37:31,"изображение, маленький, старый, личное"
DJ_Tso_full_rig_N.mb,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\TESCAO_RIG\DJ_Tso_full_rig_N.mb,TESCAO_RIG\DJ_Tso_full_rig_N.mb,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\TESCAO_RIG,.mb,256093372,244.23,2024-03-15 11:37:42,2025-05-26 20:37:31,"большой, средний, работа, старый, Maya, анимация, 3D модель"
Head_MH_ColorBake.PNG,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\TESCAO_RIG\Texture\Head_MH_ColorBake.PNG,TESCAO_RIG\Texture\Head_MH_ColorBake.PNG,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\TESCAO_RIG\Texture,.png,78939348,75.282,2024-03-13 11:09:12,2025-05-26 20:37:34,"изображение, большой, развлечения, старый, маленький, работа, контент"
teeth_color_map_001.PNG,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\TESCAO_RIG\Texture\teeth_color_map_001.PNG,TESCAO_RIG\Texture\teeth_color_map_001.PNG,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\TESCAO_RIG\Texture,.png,4817179,4.594,2024-03-13 11:11:46,2025-05-26 20:37:34,"зубы, изображение, развлечения, информативный, старый, маленький, контент"
T_Iris_A_H.PNG,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\TESCAO_RIG\Texture\T_Iris_A_H.PNG,TESCAO_RIG\Texture\T_Iris_A_H.PNG,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\TESCAO_RIG\Texture,.png,241391,0.23,2024-03-11 15:58:23,2025-05-26 20:37:34,"изображение, развлечения, старый, маленький, учеба, диаграмма, Iris."
Tescao_for_cleap_Perf_v02_03.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next\Tescao_for_cleap_Perf_v02_03.fbx,Anim_Okay_Next\Tescao_for_cleap_Perf_v02_03.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next,.fbx,17704000,16.884,2023-12-15 16:33:24,2025-05-26 20:38:57,"Модель, маленький, старый, Формат FBX, Крупный, 3D, Рабочее"
Tescao_for_cleap_Perf_v02_03_fix.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next\Tescao_for_cleap_Perf_v02_03_fix.fbx,Anim_Okay_Next\Tescao_for_cleap_Perf_v02_03_fix.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next,.fbx,18231488,17.387,2023-12-15 17:40:27,2025-05-26 20:38:57,"большой, анимация, работа, маленький, старый, 3D, модель"
Tescao_for_cleap_Perf_v02_03_fix_perevorot.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next\Tescao_for_cleap_Perf_v02_03_fix_perevorot.fbx,Anim_Okay_Next\Tescao_for_cleap_Perf_v02_03_fix_perevorot.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next,.fbx,3206496,3.058,2023-12-27 10:51:04,2025-05-26 20:38:57,"дизайн, Модель, маленький, старый, проект, 3D, крупный"
Tescao_for_cleap_Perf_v02_03_fix_v01.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next\Tescao_for_cleap_Perf_v02_03_fix_v01.fbx,Anim_Okay_Next\Tescao_for_cleap_Perf_v02_03_fix_v01.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next,.fbx,18376224,17.525,2023-12-27 16:16:08,2025-05-26 20:38:57,"дизайн, Модель, анимация, маленький, старый, проект., 3D"
Tescao_for_cleap_Perf_v02_04.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next\Tescao_for_cleap_Perf_v02_04.fbx,Anim_Okay_Next\Tescao_for_cleap_Perf_v02_04.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next,.fbx,9843600,9.388,2023-12-15 16:32:47,2025-05-26 20:38:58,"средний., Модель, анимация, работа, маленький, старый, 3D"
Tescao_for_cleap_Perf_v02_08.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next\Tescao_for_cleap_Perf_v02_08.fbx,Anim_Okay_Next\Tescao_for_cleap_Perf_v02_08.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next,.fbx,16283600,15.529,2023-12-15 17:03:21,2025-05-26 20:38:58,"большой, Модель, анимация, работа, маленький, старый, 3D"
Tescao_for_cleap_Perf_v02_13.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next\Tescao_for_cleap_Perf_v02_13.fbx,Anim_Okay_Next\Tescao_for_cleap_Perf_v02_13.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next,.fbx,12954848,12.355,2023-12-15 17:11:51,2025-05-26 20:38:58,"большой, Модель, анимация, работа, маленький, старый, 3D"
Tescao_for_cleap_Perf_v02_17_podlet.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next\Tescao_for_cleap_Perf_v02_17_podlet.fbx,Anim_Okay_Next\Tescao_for_cleap_Perf_v02_17_podlet.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next,.fbx,18986064,18.107,2023-12-15 16:40:23,2025-05-26 20:38:58,"дизайн, Модель, маленький, старый, проект., трехмерный, анимация"
Tescao_for_cleap_Perf_v02_18.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next\Tescao_for_cleap_Perf_v02_18.fbx,Anim_Okay_Next\Tescao_for_cleap_Perf_v02_18.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next,.fbx,10398160,9.916,2023-12-15 17:33:01,2025-05-26 20:38:58,"дизайн, Модель, маленький, старый, профессиональный, 3D, крупный"
Tescao_for_cleap_Perf_v02_19.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next\Tescao_for_cleap_Perf_v02_19.fbx,Anim_Okay_Next\Tescao_for_cleap_Perf_v02_19.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next,.fbx,22587648,21.541,2023-12-15 17:26:04,2025-05-26 20:38:58,"дизайн, Модель, анимация, маленький, старый, проект, 3D"
Tescao_for_cleap_Perf_v02_21.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next\Tescao_for_cleap_Perf_v02_21.fbx,Anim_Okay_Next\Tescao_for_cleap_Perf_v02_21.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next,.fbx,3554368,3.39,2023-12-15 16:42:20,2025-05-26 20:38:59,"формат, Модель, работа, маленький, старый, файл, 3D"
Tescao_for_cleap_Perf_v02_03.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next\Anim_Okay_Next\Tescao_for_cleap_Perf_v02_03.fbx,Anim_Okay_Next\Anim_Okay_Next\Tescao_for_cleap_Perf_v02_03.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next\Anim_Okay_Next,.fbx,17704000,16.884,2023-12-15 16:33:24,2025-05-26 20:38:59,"Модель, Файл, маленький, старый, 3D, Формат, Рабочее"
Tescao_for_cleap_Perf_v02_03_fix.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next\Anim_Okay_Next\Tescao_for_cleap_Perf_v02_03_fix.fbx,Anim_Okay_Next\Anim_Okay_Next\Tescao_for_cleap_Perf_v02_03_fix.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next\Anim_Okay_Next,.fbx,18231488,17.387,2023-12-15 17:40:27,2025-05-26 20:38:59,"Модель, работа, маленький, старый, формат FBX, 3D, крупный"
Tescao_for_cleap_Perf_v02_04.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next\Anim_Okay_Next\Tescao_for_cleap_Perf_v02_04.fbx,Anim_Okay_Next\Anim_Okay_Next\Tescao_for_cleap_Perf_v02_04.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next\Anim_Okay_Next,.fbx,9843600,9.388,2023-12-15 16:32:47,2025-05-26 20:38:59,"большой, дизайн., маленький, старый, проект, 3D-модель, анимация"
Tescao_for_cleap_Perf_v02_06.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next\Anim_Okay_Next\Tescao_for_cleap_Perf_v02_06.fbx,Anim_Okay_Next\Anim_Okay_Next\Tescao_for_cleap_Perf_v02_06.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next\Anim_Okay_Next,.fbx,21079952,20.103,2023-12-15 16:54:25,2025-05-26 20:38:59,"Модель, анимация, работа, маленький, старый, важный, 3D"
Tescao_for_cleap_Perf_v02_08.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next\Anim_Okay_Next\Tescao_for_cleap_Perf_v02_08.fbx,Anim_Okay_Next\Anim_Okay_Next\Tescao_for_cleap_Perf_v02_08.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next\Anim_Okay_Next,.fbx,16283600,15.529,2023-12-15 17:03:21,2025-05-26 20:38:59,"дизайн, Модель, анимация, маленький, старый, проект., 3D"
Tescao_for_cleap_Perf_v02_13.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next\Anim_Okay_Next\Tescao_for_cleap_Perf_v02_13.fbx,Anim_Okay_Next\Anim_Okay_Next\Tescao_for_cleap_Perf_v02_13.fbx,X:/UnrealEngine/Animations/АНИМАЦИИ/TESCAO\Anim_Okay_Next\Anim_Okay_Next,.fbx,12954848,12.355,2023-12-15 17:11:51,2025-05-26 20:39:00,"средний., Модель, анимация, работа, маленький, старый, 3D"
